latitude,longitude,elevation,datetime,temp,vp,rh,tmin,tmax,trange,precip,windSpd
1.77157,-78.84153,10,2000-01-01T00:00:00Z,24.8,26.2,83.7,20.6,29.1,8.5,2721,0.1
1.77157,-78.84153,10,2000-02-01T00:00:00Z,25.1,26.5,83.1,20.8,29.5,8.7,5394,1.34
1.77157,-78.84153,10,2000-03-01T00:00:00Z,25.5,26.9,82.4,21.1,30,8.9,2463,1.54
1.77157,-78.84153,10,2000-04-01T00:00:00Z,25.9,27.6,82.6,21.5,30.4,8.9,2879,1.28
1.77157,-78.84153,10,2000-05-01T00:00:00Z,25.3,27.1,84,21.1,29.5,8.4,6023,0.77
1.77157,-78.84153,10,2000-06-01T00:00:00Z,25.1,27.4,85.9,20.8,29.4,8.6,2267,0.09
1.77157,-78.84153,10,2000-07-01T00:00:00Z,24.8,25.9,82.7,20.2,29.4,9.2,3161,0.66
1.77157,-78.84153,10,2000-08-01T00:00:00Z,25.3,27.6,85.5,20.7,30,9.3,1369,0.01
1.77157,-78.84153,10,2000-09-01T00:00:00Z,24.7,25.5,81.9,20.2,29.2,9,2150,0.69
1.77157,-78.84153,10,2000-10-01T00:00:00Z,25.5,27.7,84.8,21.3,29.7,8.4,2013,1.5
1.77157,-78.84153,10,2000-11-01T00:00:00Z,24.9,27.7,87.9,20.9,28.9,8,1958,1.34
1.77157,-78.84153,10,2000-12-01T00:00:00Z,25.1,27.2,85.3,21.1,29.2,8.1,2975,1.46
1.77157,-78.84153,10,2001-01-01T00:00:00Z,25.6,26.8,81.6,21.4,29.9,8.5,5054,0.93
1.77157,-78.84153,10,2001-02-01T00:00:00Z,26.4,27.9,81,22.1,30.8,8.7,2463,1.54
1.77157,-78.84153,10,2001-03-01T00:00:00Z,25.5,26.9,82.4,21.1,30,8.9,2793,1.76
1.77157,-78.84153,10,2001-04-01T00:00:00Z,26.4,28.8,83.6,22,30.9,8.9,2540,0.58
1.77157,-78.84153,10,2001-05-01T00:00:00Z,25.5,27.9,85.5,21.3,29.7,8.4,4258,0.07
1.77157,-78.84153,10,2001-06-01T00:00:00Z,25.1,27.1,85,20.8,29.4,8.6,3028,0.26
1.77157,-78.84153,10,2001-07-01T00:00:00Z,25.3,27.7,85.9,20.7,29.9,9.2,1567,0.55
1.77157,-78.84153,10,2001-08-01T00:00:00Z,25.9,27.1,81.1,21.3,30.6,9.3,986,0.05
1.77157,-78.84153,10,2001-09-01T00:00:00Z,24.9,26.6,84.4,20.4,29.4,9,2333,0.57
1.77157,-78.84153,10,2001-10-01T00:00:00Z,25.6,27.7,84.3,21.4,29.8,8.4,2447,1.41
1.77157,-78.84153,10,2001-11-01T00:00:00Z,25.1,27.1,85,21.1,29.1,8,3578,1.3
1.77157,-78.84153,10,2001-12-01T00:00:00Z,25.1,27.9,87.5,21.1,29.2,8.1,3160,0.83
1.77157,-78.84153,10,2002-01-01T00:00:00Z,25.6,28,85.3,21.4,29.9,8.5,2536,0.76
1.77157,-78.84153,10,2002-02-01T00:00:00Z,26.3,28.4,83,22,30.7,8.7,2467,0.26
1.77157,-78.84153,10,2002-03-01T00:00:00Z,26.3,28.1,82.1,21.9,30.8,8.9,2544,0.5
1.77157,-78.84153,10,2002-04-01T00:00:00Z,26.5,29.3,84.6,22.1,31,8.9,3631,0.47
1.77157,-78.84153,10,2002-05-01T00:00:00Z,26.4,29.1,84.5,22.2,30.6,8.4,3217,0.4
1.77157,-78.84153,10,2002-06-01T00:00:00Z,25.2,27.7,86.4,20.9,29.5,8.6,3197,0.02
1.77157,-78.84153,10,2002-07-01T00:00:00Z,25.7,27.7,83.8,21.1,30.3,9.2,2060,0.55
1.77157,-78.84153,10,2002-08-01T00:00:00Z,25.4,27.3,84.1,21.2,29.6,8.4,2870,0.01
1.77157,-78.84153,10,2002-09-01T00:00:00Z,25.4,27.5,84.7,20.9,29.9,9,3262,0.6
1.77157,-78.84153,10,2002-10-01T00:00:00Z,25.6,28.5,86.8,22.3,28.9,6.6,3658,0.27
1.77157,-78.84153,10,2002-11-01T00:00:00Z,25.7,28.5,86.3,22.7,28.7,6,2904,0.34
1.77157,-78.84153,10,2002-12-01T00:00:00Z,25.8,29.6,89.1,22.8,28.9,6.1,3066,0.15
1.77157,-78.84153,10,2003-01-01T00:00:00Z,26.1,28.2,83.4,22,30.3,8.3,1496,0.31
1.77157,-78.84153,10,2003-02-01T00:00:00Z,26.3,28.5,83.3,22,30.7,8.7,2905,0.02
1.77157,-78.84153,10,2003-03-01T00:00:00Z,26,29,86.2,22.2,29.8,7.6,2096,0.16
1.77157,-78.84153,10,2003-04-01T00:00:00Z,26.2,29.3,86.1,22.3,30.2,7.9,3927,0.32
1.77157,-78.84153,10,2003-05-01T00:00:00Z,26,28.5,84.7,21.8,30.2,8.4,2791,0.56
